Asvi,AsviR,Sexe,Age,Tage,Couple,Vmatri,Diplome,Occupa,Work,statut,Herit,Pere,Mere,Gparp,gparm,Jgrav,Livep,Epalo,fepsal,vmob,livdf,pel,cel,qpep,asdecv,Retrait,Qpea,Urbani,Zeat,Nbenf,Nbenfq,Iogoc,terre,dette,bdetre,hdetvo,ident
AsO,0,Sf,79,T80,CouO,Vmar,Dcep,Oret,Wemp,spriv,HerO,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U5,Zidf,1,Nbe1,Ipro,terO,detN,bemN,hevN,00021
AsN,1,Sf,56,T60,CouN,Vcel,Db+5,Oact,WctA,spub,HerN,PerN,MerO,GppN,gpmN,JgvN,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00022
AsN,1,Sh,40,T50,CouN,Vcel,Db+5,Oact,WctA,spub,HerN,PerO,MerO,GppN,gpmN,JgvN,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Ipro,terO,detO,bemO,hevN,00023
AsO,0,Sf,74,T80,CouN,Vsep,Dbepc,Oret,Wemp,spriv,HerO,PerN,MerN,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,1,Nbe1,Ipro,terN,detN,bemN,hevN,00024
AsN,1,Sf,34,T40,CouO,Vmar,Db+5,Oact,WctA,spriv,HerN,PerO,MerN,GppN,gpmN,JgvN,LivO,EplO,fesN,vmoO,ldfO,pelO,celN,qppN,asdN,RepN,QpeO,U5,Zidf,0,Nbe0,Ipro,terN,detO,bemO,hevN,00025
AsN,1,Sh,37,T40,CouO,Vmar,Db+5,Oact,WctA,spriv,HerN,PerO,MerO,GppO,gpmO,JgvO,LivN,EplN,fesN,vmoO,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,0,Nbe0,Ipro,terN,detO,bemO,hevN,00026
AsN,1,Sf,54,T60,CouO,Vmar,Dsan,Oact,Wemp,spub,HerN,PerN,MerN,GppN,gpmN,JgvN,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,1,Nbe1,Ipro,terN,detO,bemN,hevO,00027
AsN,1,Sh,71,T80,CouO,Vmar,Dcep,Oret,Wemp,spriv,HerO,PerN,MerO,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U5,Zidf,1,Nbe1,Ipro,terN,detO,bemN,hevO,00028
AsN,1,Sf,32,T40,CouN,Vcel,Db+2,Oact,Wemp,spub,HerN,PerN,MerO,GppN,gpmO,JgvN,LivO,EplO,fesN,vmoO,ldfO,pelO,celN,qppO,asdN,RepO,QpeO,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00029
AsO,0,Sh,51,T60,CouO,Vmar,Dbac,Oact,Wemp,spriv,HerN,PerN,MerN,GppN,gpmN,JgvN,LivO,EplN,fesO,vmoO,ldfO,pelN,celN,qppN,asdN,RepN,QpeO,U5,Zidf,0,Nbe0,Iloc,terN,detN,bemN,hevN,00030
