Asvi,AsviR,Sexe,Age,Tage,Couple,Vmatri,Diplome,Occupa,Work,statut,Herit,Pere,Mere,Gparp,gparm,Jgrav,Livep,Epalo,fepsal,vmob,livdf,pel,cel,qpep,asdecv,Retrait,Qpea,Urbani,Zeat,Nbenf,Nbenfq,Iogoc,terre,dette,bdetre,hdetvo,ident
AsN,1,Sh,55,T60,CouO,Vmar,Dsan,Oact,WctC,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdO,RepN,QpeN,U1,Zpar,2,Nbe2,Ipro,terN,detN,bemN,hevN,02163
AsO,0,Sf,55,T60,CouO,Vmar,Dtec,Oact,Wemp,spriv,HerO,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoO,ldfO,pelO,celN,qppN,asdN,RepN,QpeO,U1,Zpar,2,Nbe2,Ipro,terN,detN,bemN,hevN,02164
AsN,1,Sh,30,T40,CouO,Vcel,Dbac,Oact,WctA,spriv,HerN,PerO,MerO,GppO,gpmO,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,0,Nbe0,Iloc,terN,detO,bemN,hevO,02165
AsO,0,Sf,33,T40,CouO,Vcel,Dbac,Oact,Wemp,spub,HerN,PerN,MerO,GppO,gpmO,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,0,Nbe0,Iloc,terN,detO,bemN,hevO,02166
AsO,0,Sf,64,T70,CouN,Vsep,Dcep,Oret,Wemp,spub,HerN,PerN,MerN,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,1,Nbe1,Ipro,terN,detN,bemN,hevN,02167
AsO,0,Sf,66,T70,CouO,Vmar,Dcep,Oret,Wemp,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoO,ldfO,pelN,celN,qppN,asdN,RepN,QpeO,U1,Zpar,0,Nbe0,Ipro,terN,detN,bemN,hevN,02168
AsN,1,Sf,59,T60,CouO,Vmar,Dtec,Oact,Wemp,spub,HerO,PerO,MerN,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,2,Nbe2,Ipro,terN,detO,bemN,hevO,02169
AsN,1,Sh,40,T50,CouO,Vmar,Dtec,Oret,WctB,spub,HerN,PerO,MerO,GppN,gpmN,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdO,RepN,QpeN,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevO,02170
AsN,1,Sf,36,T40,CouO,Vmar,Dtec,Oact,Wemp,spriv,HerN,PerN,MerO,GppN,gpmO,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelN,celO,qppN,asdO,RepO,QpeN,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevO,02171
AsN,1,Sh,37,T40,CouO,Vcel,Dtec,Oact,WctC,spriv,HerN,PerN,MerO,GppN,gpmN,JgvN,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdO,RepN,QpeN,U1,Zpar,0,Nbe0,Iloc,terN,detN,bemN,hevN,02172
AsO,0,Sf,72,T80,CouN,Vsep,Dcep,Oret,Wemp,spub,HerN,PerN,MerN,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,3,Nb>3,Iloc,terN,detN,bemN,hevN,02173
AsO,0,Sh,56,T60,CouO,Vmar,Dcep,Oina,WctC,spriv,HerN,PerN,MerO,GppN,gpmN,JgvN,LivO,EplO,fesO,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U1,Zpar,3,Nb>3,Ipro,terO,detO,bemN,hevO,02174
AsN,1,Sf,49,T50,CouO,Vmar,Dcep,Oact,Wemp,spriv,HerN,PerO,MerO,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoO,ldfN,pelN,celN,qppN,asdN,RepN,QpeO,U1,Zpar,3,Nb>3,Ipro,terO,detO,bemN,hevO,02175
AsO,0,Sh,38,T40,CouO,Vmar,Dsan,Oact,WctC,spriv,HerN,PerN,MerO,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,1,Nbe1,Ipro,terN,detO,bemO,hevO,02176
AsO,0,Sf,45,T50,CouO,Vmar,Dsan,Oact,Wemp,spub,HerN,PerO,MerO,GppO,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,1,Nbe1,Ipro,terN,detO,bemO,hevO,02177
AsN,1,Sf,79,T80,CouN,Vsep,Dcep,Oret,Wemp,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,2,Nbe2,Ipro,terN,detN,bemN,hevN,02178
AsN,1,Sh,60,T70,CouO,Vmar,Dsan,Oret,WctC,spriv,HerN,PerN,MerN,GppN,gpmN,JgvN,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,2,Nbe2,Ipro,terO,detO,bemN,hevN,02179
AsN,1,Sf,53,T60,CouO,Vmar,Dsan,Oact,Wemp,spriv,HerO,PerO,MerO,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,2,Nbe2,Ipro,terO,detO,bemN,hevN,02180
AsN,1,Sh,54,T60,CouO,Vmar,Dsan,Oina,WctC,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdO,RepN,QpeN,U1,Zpar,4,Nb>3,Ipro,terN,detO,bemN,hevN,02181
AsN,1,Sf,83,T80,CouN,Vsep,Dcep,Oret,Wemp,spub,HerO,PerN,MerN,GppN,gpmN,JgvN,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U1,Zpar,2,Nbe2,Ipro,terO,detN,bemN,hevN,02182
AsN,1,Sh,64,T70,CouO,Vmar,Dcep,Oret,WctC,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdO,RepN,QpeN,U1,Zpar,4,Nb>3,Ipro,terO,detO,bemN,hevN,02183
AsN,1,Sf,60,T70,CouO,Vmar,Dtec,Oret,WctC,spriv,HerO,PerN,MerN,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdO,RepN,QpeN,U1,Zpar,4,Nb>3,Ipro,terO,detO,bemN,hevN,02184
AsN,1,Sh,24,T30,CouN,Vcel,Dtec,Oact,WctC,spriv,HerN,PerO,MerO,GppO,gpmN,JgvN,LivO,EplN,fesO,vmoN,ldfO,pelN,celN,qppN,asdO,RepN,QpeN,U1,Zpar,0,Nbe0,Iloc,terN,detO,bemN,hevO,02185
AsN,1,Sh,75,T80,CouO,Vmar,Dcep,Oret,WctC,spriv,HerN,PerN,MerN,GppN,gpmN,JgvN,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdO,RepN,QpeN,U1,Zpar,2,Nbe2,Ipro,terN,detN,bemN,hevN,02186
AsN,1,Sh,38,T40,CouO,Vmar,Db+2,Oact,WctB,spub,HerN,PerO,MerO,GppO,gpmN,JgvN,LivO,EplO,fesN,vmoN,ldfO,pelN,celO,qppN,asdO,RepN,QpeN,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevO,02187
AsN,1,Sf,36,T40,CouO,Vmar,Db+2,Oact,WctB,spub,HerN,PerO,MerO,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelN,celO,qppN,asdO,RepN,QpeN,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevO,02188
AsN,1,Sh,32,T40,CouO,Vmar,Dtec,Oact,Wemp,spriv,HerN,PerO,MerO,GppN,gpmO,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemN,hevO,02189
AsN,1,Sf,29,T30,CouO,Vmar,Db+2,Oact,Wemp,spriv,HerN,PerN,MerO,GppN,gpmN,JgvN,LivN,EplN,fesO,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemN,hevO,02190
AsN,1,Sh,39,T40,CouN,Vcel,Dtec,Oact,WctC,spriv,HerN,PerN,MerO,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U1,Zpar,0,Nbe0,Iloc,terN,detN,bemN,hevN,02191
AsO,0,Sh,82,T80,CouN,Vsep,Dtec,Oret,WctC,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelN,celO,qppN,asdN,RepN,QpeN,U1,Zpar,4,Nb>3,Ipro,terO,detN,bemN,hevN,02192
AsN,1,Sh,31,T40,CouN,Vcel,Db+2,Oact,WctC,spriv,HerN,PerO,MerO,GppN,gpmO,JgvO,LivO,EplO,fesN,vmoO,ldfO,pelO,celO,qppO,asdN,RepO,QpeO,U2,Zpar,0,Nbe0,Iloc,terN,detO,bemN,hevO,02193
AsN,1,Sf,34,T40,CouN,Vsep,Dtec,Oact,WctC,spriv,HerN,PerN,MerO,GppN,gpmN,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdO,RepN,QpeN,U2,Zpar,0,Nbe0,Iloc,terN,detN,bemN,hevN,02194
AsO,0,Sh,71,T80,CouO,Vmar,Dbac,Oret,WctB,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U2,Zpar,0,Nbe0,Ipro,terO,detN,bemN,hevN,02195
AsO,0,Sf,69,T70,CouO,Vmar,Dtec,Oret,Wemp,spriv,HerO,PerN,MerN,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U2,Zpar,0,Nbe0,Ipro,terO,detN,bemN,hevN,02196
AsN,1,Sf,29,T30,CouO,Vcel,Dtec,Oact,WctC,spriv,HerN,PerO,MerO,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U2,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevO,02197
AsN,1,Sh,28,T30,CouO,Vcel,Dtec,Oact,WctC,spriv,HerN,PerO,MerO,GppN,gpmO,JgvO,LivO,EplN,fesO,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U2,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevN,02198
AsN,1,Sh,22,T30,CouO,Vcel,Dbac,Oact,WctC,spriv,HerN,PerO,MerO,GppO,gpmO,JgvO,LivO,EplN,fesO,vmoN,ldfO,pelN,celN,qppN,asdO,RepN,QpeN,U2,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevN,02199
AsO,0,Sh,71,T80,CouN,Vsep,Dsan,Oret,WctC,spriv,HerN,PerN,MerN,GppN,gpmN,JgvN,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U2,Zpar,2,Nbe2,Ipro,terN,detN,bemN,hevN,02200
AsN,1,Sf,59,T60,CouO,Vmar,Dbac,Oina,WctB,spub,HerN,PerN,MerO,GppN,gpmN,JgvO,LivN,EplO,fesN,vmoN,ldfN,pelO,celN,qppN,asdN,RepN,QpeN,U2,Zpar,4,Nb>3,Ipro,terN,detO,bemN,hevO,02201
AsO,0,Sh,58,T60,CouO,Vmar,Db+2,Oret,WctA,spub,HerO,PerN,MerO,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoO,ldfO,pelN,celN,qppO,asdO,RepN,QpeN,U2,Zpar,1,Nbe1,Ipro,terO,detO,bemN,hevN,02202
AsN,1,Sf,59,T60,CouO,Vmar,Db+2,Oret,WctB,spub,HerO,PerN,MerN,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U2,Zpar,1,Nbe1,Ipro,terO,detO,bemN,hevN,02203
AsN,1,Sh,63,T70,CouO,Vmar,Dbepc,Oret,WctC,spub,HerO,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoO,ldfO,pelN,celO,qppN,asdN,RepN,QpeO,U2,Zpar,2,Nbe2,Ipro,terN,detN,bemN,hevN,02204
AsN,1,Sf,62,T70,CouO,Vmar,Dcep,Oret,Wemp,spub,HerO,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelO,celO,qppN,asdN,RepN,QpeN,U2,Zpar,2,Nbe2,Ipro,terN,detN,bemN,hevN,02205
AsN,1,Sh,55,T60,CouO,Vmar,Dsan,Oact,WctC,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U2,Zpar,2,Nbe2,Ipro,terO,detO,bemN,hevN,02206
AsN,1,Sf,52,T60,CouO,Vmar,Dsan,Oact,WctC,spriv,HerO,PerN,MerN,GppN,gpmN,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U2,Zpar,2,Nbe2,Ipro,terO,detO,bemN,hevN,02207
AsN,1,Sh,29,T30,CouO,Vmar,Dbac,Oact,WctA,spub,HerN,PerO,MerO,GppN,gpmO,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdO,RepN,QpeN,U2,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevO,02208
AsN,1,Sf,30,T40,CouO,Vmar,Dbac,Oact,WctA,spub,HerN,PerO,MerO,GppN,gpmO,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdO,RepN,QpeN,U2,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevO,02209
AsN,1,Sh,43,T50,CouO,Vmar,Dtec,Oact,WctC,spriv,HerN,PerN,MerO,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppO,asdN,RepN,QpeN,U2,Zpar,1,Nbe1,Iloc,terN,detO,bemN,hevO,02210
AsN,1,Sf,43,T50,CouO,Vmar,Dbac,Oina,Wemp,spriv,HerN,PerN,MerO,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U2,Zpar,1,Nbe1,Iloc,terN,detO,bemN,hevO,02211
AsO,0,Sh,48,T50,CouO,Vmar,Dbepc,Oact,Wemp,spriv,HerN,PerO,MerO,GppN,gpmN,JgvO,LivN,EplN,fesO,vmoN,ldfN,pelN,celN,qppN,asdO,RepO,QpeN,U2,Zpar,0,Nbe0,Ipro,terN,detO,bemN,hevN,02212
AsN,1,Sf,48,T50,CouO,Vmar,Dbepc,Oact,Wemp,spriv,HerN,PerN,MerO,GppN,gpmN,JgvO,LivO,EplN,fesO,vmoN,ldfO,pelN,celN,qppN,asdN,RepO,QpeN,U2,Zpar,0,Nbe0,Ipro,terN,detO,bemN,hevN,02213
AsN,1,Sh,83,T80,CouO,Vmar,Dcep,Oret,WctC,spriv,HerN,PerN,MerN,GppN,gpmN,JgvN,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U2,Zpar,4,Nb>3,Ipro,terO,detN,bemN,hevN,02214
AsN,1,Sf,82,T80,CouO,Vmar,Dcep,Oret,Wemp,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U2,Zpar,4,Nb>3,Ipro,terO,detN,bemN,hevN,02215
AsO,0,Sh,49,T50,CouO,Vmar,Dtec,Oact,WctC,spriv,HerN,PerN,MerO,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdO,RepN,QpeN,U2,Zpar,1,Nbe1,Iloc,terN,detO,bemN,hevN,02216
AsO,0,Sf,50,T60,CouO,Vmar,Dcep,Oina,Wemp,spriv,HerN,PerN,MerO,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U2,Zpar,1,Nbe1,Iloc,terN,detO,bemN,hevN,02217
AsN,1,Sh,40,T50,CouO,Vmar,Dsan,Oina,WctC,spriv,HerN,PerN,MerO,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U3,Zpar,0,Nbe0,Ipro,terN,detN,bemN,hevN,02218
AsO,0,Sf,62,T70,CouN,Vsep,Dtec,Oret,Wemp,spriv,HerO,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoO,ldfO,pelO,celN,qppN,asdO,RepN,QpeO,U3,Zpar,2,Nbe2,Ipro,terN,detN,bemN,hevN,02219
AsN,1,Sh,74,T80,CouO,Vmar,Dsan,Oret,Wemp,spub,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdO,RepN,QpeN,U3,Zpar,3,Nb>3,Iloc,terN,detN,bemN,hevN,02220
AsN,1,Sf,66,T70,CouO,Vmar,Dtec,Oret,Wemp,spub,HerN,PerN,MerN,GppN,gpmN,JgvN,LivN,EplO,fesN,vmoN,ldfN,pelO,celN,qppN,asdO,RepN,QpeN,U3,Zpar,3,Nb>3,Iloc,terN,detN,bemN,hevN,02221
AsN,1,Sf,49,T50,CouN,Vcel,Dbepc,Oact,Wemp,spriv,HerN,PerN,MerO,GppN,gpmN,JgvO,LivN,EplN,fesO,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U3,Zpar,1,Nbe1,Iloc,terN,detO,bemN,hevO,02222
AsN,1,Sf,54,T60,CouO,Vmar,Dcep,Oact,Wemp,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U3,Zpar,4,Nb>3,Iloc,terN,detO,bemN,hevO,02223
AsN,1,Sf,62,T70,CouN,Vsep,Dsan,Oret,WctC,spriv,HerN,PerN,MerO,GppN,gpmN,JgvN,LivO,EplN,fesN,vmoO,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U3,Zpar,1,Nbe1,Iloc,terN,detN,bemN,hevN,02224
AsN,1,Sf,42,T50,CouN,Vsep,Dbac,Oact,Wemp,spub,HerO,PerN,MerO,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U3,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevN,02225
AsO,0,Sh,76,T80,CouN,Vsep,Dcep,Oret,WctC,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U3,Zpar,2,Nbe2,Iloc,terN,detN,bemN,hevN,02226
AsN,1,Sf,63,T70,CouN,Vsep,Dsan,Oret,Wemp,spriv,HerN,PerN,MerN,GppN,gpmN,JgvN,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdO,RepN,QpeN,U3,Zpar,3,Nb>3,Iloc,terN,detN,bemN,hevN,02227
AsN,1,Sh,40,T50,CouN,Vmar,Dtec,Oact,Wemp,spriv,HerN,PerO,MerO,GppN,gpmN,JgvN,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U3,Zpar,2,Nbe2,Iloc,terN,detO,bemN,hevO,02228
AsN,1,Sf,40,T50,CouN,Vcel,Dsan,Oact,Wemp,spriv,HerN,PerN,MerO,GppN,gpmN,JgvN,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U3,Zpar,0,Nbe0,Iloc,terN,detN,bemN,hevN,02229
AsN,1,Sh,56,T60,CouO,Vmar,Dcep,Oact,Wemp,spub,HerN,PerN,MerO,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppO,asdN,RepN,QpeN,U3,Zne,1,Nbe1,Ipro,terN,detN,bemN,hevN,02230
AsN,1,Sh,46,T50,CouO,Vmar,Dtec,Oact,WctC,spub,HerN,PerO,MerN,GppN,gpmN,JgvO,LivN,EplO,fesN,vmoO,ldfN,pelO,celN,qppN,asdN,RepN,QpeO,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemN,hevO,02231
AsN,1,Sf,42,T50,CouO,Vmar,Db+2,Oact,Wemp,spub,HerO,PerO,MerO,GppN,gpmN,JgvO,LivN,EplO,fesN,vmoO,ldfN,pelO,celN,qppN,asdN,RepN,QpeO,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemN,hevO,02232
AsN,1,Sh,34,T40,CouO,Vcel,Dtec,Oact,WctC,spriv,HerN,PerO,MerO,GppN,gpmO,JgvO,LivO,EplN,fesO,vmoN,ldfO,pelN,celN,qppN,asdN,RepO,QpeN,U1,Zpar,0,Nbe0,Iloc,terN,detN,bemN,hevN,02233
AsN,1,Sf,32,T40,CouO,Vcel,Dtec,Oina,Wemp,spub,HerN,PerO,MerO,GppN,gpmO,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,0,Nbe0,Iloc,terN,detN,bemN,hevN,02234
AsN,1,Sh,62,T70,CouO,Vmar,Dcep,Oret,WctB,spub,HerN,PerN,MerN,GppN,gpmN,JgvN,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,2,Nbe2,Ipro,terN,detN,bemN,hevN,02235
AsN,1,Sf,52,T60,CouO,Vmar,Db+2,Oina,WctB,spub,HerN,PerN,MerO,GppN,gpmN,JgvN,LivO,EplO,fesN,vmoN,ldfO,pelO,celN,qppN,asdN,RepN,QpeN,U1,Zpar,2,Nbe2,Ipro,terN,detN,bemN,hevN,02236
AsN,1,Sh,60,T70,CouO,Vmar,Dcep,Oret,WctC,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,1,Nbe1,Ipro,terN,detO,bemO,hevN,02237
AsN,1,Sh,59,T60,CouO,Vmar,Db+5,Oret,WctA,spub,HerN,PerN,MerO,GppN,gpmN,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,2,Nbe2,Ipro,terN,detO,bemN,hevN,02238
AsN,1,Sf,49,T50,CouO,Vmar,Db+5,Oact,WctA,spub,HerN,PerN,MerO,GppN,gpmN,JgvO,LivN,EplO,fesN,vmoN,ldfN,pelO,celO,qppN,asdN,RepN,QpeN,U1,Zpar,2,Nbe2,Ipro,terN,detO,bemN,hevN,02239
AsN,1,Sh,60,T70,CouO,Vmar,Dtec,Oret,WctC,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivN,EplO,fesN,vmoN,ldfN,pelN,celO,qppN,asdN,RepN,QpeN,U1,Zpar,3,Nb>3,Ipro,terN,detO,bemN,hevO,02240
AsN,1,Sf,55,T60,CouO,Vmar,Dbepc,Oact,Wemp,spub,HerN,PerN,MerO,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,3,Nb>3,Ipro,terN,detO,bemN,hevO,02241
AsO,0,Sh,42,T50,CouO,Vmar,Dtec,Oact,WctC,spriv,HerN,PerO,MerN,GppN,gpmN,JgvO,LivN,EplN,fesN,vmoN,ldfN,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,2,Nbe2,Ipro,terN,detO,bemO,hevO,02242
AsN,1,Sh,34,T40,CouO,Vmar,Db+2,Oact,WctB,spriv,HerO,PerN,MerO,GppN,gpmN,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevN,02243
AsN,1,Sf,33,T40,CouO,Vmar,Dtec,Oact,Wemp,spriv,HerO,PerO,MerO,GppN,gpmN,JgvN,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdO,RepN,QpeN,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevN,02244
AsO,0,Sh,33,T40,CouO,Vmar,Db+2,Oact,WctA,spriv,HerN,PerO,MerO,GppN,gpmO,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevO,02245
AsN,1,Sf,32,T40,CouO,Vmar,Db+2,Oact,WctB,spub,HerN,PerO,MerO,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevO,02246
AsN,1,Sh,78,T80,CouO,Vmar,Dcep,Oret,WctC,spriv,HerN,PerN,MerN,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppO,asdN,RepN,QpeN,U1,Zpar,4,Nb>3,Ipro,terN,detN,bemN,hevN,02247
AsN,1,Sh,47,T50,CouO,Vmar,Db+2,Oact,WctC,spriv,HerN,PerN,MerO,GppN,gpmN,JgvN,LivO,EplN,fesO,vmoN,ldfO,pelN,celN,qppN,asdO,RepO,QpeN,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevO,02248
AsN,1,Sf,40,T50,CouO,Vmar,Dsan,Oact,Wemp,spub,HerN,PerN,MerO,GppN,gpmN,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevO,02249
AsN,1,Sh,35,T40,CouO,Vmar,Db+2,Oact,WctB,spriv,HerN,PerO,MerO,GppN,gpmN,JgvO,LivN,EplO,fesN,vmoN,ldfN,pelO,celN,qppN,asdN,RepN,QpeN,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemN,hevO,02250
AsN,1,Sf,36,T40,CouO,Vmar,Dtec,Oact,Wemp,spriv,HerO,PerO,MerO,GppN,gpmN,JgvO,LivO,EplO,fesN,vmoN,ldfO,pelN,celO,qppN,asdN,RepN,QpeN,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemN,hevO,02251
AsN,1,Sh,34,T40,CouO,Vmar,Dtec,Oact,WctC,spriv,HerN,PerO,MerO,GppN,gpmN,JgvO,LivO,EplN,fesO,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevO,02252
AsN,1,Sf,30,T40,CouO,Vmar,Dbac,Oact,WctC,spriv,HerN,PerO,MerO,GppN,gpmO,JgvO,LivO,EplN,fesN,vmoN,ldfO,pelN,celN,qppN,asdN,RepN,QpeN,U1,Zpar,0,Nbe0,Ipro,terN,detO,bemO,hevO,02253
